week,market,entity,rule_id,rule,category,severity,owner,metric,value,detail,action,severity_rank
,All markets,TV,CH-02,Large spend with no revenue attribution,Measurement,critical,Marketing Director,share_of_spend,0.48055486574839645,"TV carries 48% of media spend (11,645,683 AED) with no attributed sales or conversions in this dataset","A material share of budget sits in a channel this data cannot evaluate. This is a measurement gap, not evidence of failure — commission incrementality testing or a geo holdout before drawing any conclusion about its worth.",0
2,SEEG,SEEG (Egypt),SENT-01,Sentiment below peer group,Brand health,critical,Brand & PR Lead,sentiment,0.8325806451612903,"sentiment at 0.83 against a peer median of 0.86 (+3% gap, -3.5 robust SD across 8 markets)",Identify the driving topic within 24h. Pause paid amplification on affected creative until the cause is known — amplifying into negative sentiment turns a complaint into a news cycle.,0
4,SGE,SGE (Gulf),SENT-01,Sentiment below peer group,Brand health,critical,Brand & PR Lead,sentiment,0.8351219512195123,"sentiment at 0.84 against a peer median of 0.86 (+3% gap, -2.5 robust SD across 8 markets)",Identify the driving topic within 24h. Pause paid amplification on affected creative until the cause is known — amplifying into negative sentiment turns a complaint into a news cycle.,0
6,SEMAG,SEMAG (Maghreb),SENT-01,Sentiment below peer group,Brand health,critical,Brand & PR Lead,sentiment,0.8377083333333334,"sentiment at 0.84 against a peer median of 0.85 (+2% gap, -4.0 robust SD across 8 markets)",Identify the driving topic within 24h. Pause paid amplification on affected creative until the cause is known — amplifying into negative sentiment turns a complaint into a news cycle.,0
6,SETK,SETK (Türkiye),SENT-01,Sentiment below peer group,Brand health,critical,Brand & PR Lead,sentiment,0.84375,"sentiment at 0.84 against a peer median of 0.85 (+1% gap, -2.5 robust SD across 8 markets)",Identify the driving topic within 24h. Pause paid amplification on affected creative until the cause is known — amplifying into negative sentiment turns a complaint into a news cycle.,0
8,All markets,Portfolio (all markets),EFF-03,Portfolio sales declining,Commercial,critical,Marketing Director,sales_aed,-0.2641736771492109,"Group-wide sales_aed -26.4% across weeks 7-8 versus the 3 before, summed across all 8 markets — invisible to every peer-comparison rule on this page, since nothing looks unusual when every market moves together.","Check whether spend fell in step with sales or sales fell faster than spend -- the first is a controlled pullback, the second is a demand problem. This is the only rule watching total portfolio volume rather than any one market against its neighbours, so treat it as the headline number, not a duplicate of the market-level alerts above.",0
8,SEEG,SEEG (Egypt),SENT-01,Sentiment below peer group,Brand health,critical,Brand & PR Lead,sentiment,0.8466666666666667,"sentiment at 0.85 against a peer median of 0.86 (+1% gap, -2.1 robust SD across 8 markets)",Identify the driving topic within 24h. Pause paid amplification on affected creative until the cause is known — amplifying into negative sentiment turns a complaint into a news cycle.,0
,All markets,Influencer,CH-01,Channel below breakeven on gross margin,Channel performance,high,Marketing Director,roi_gross_margin,0.45872062042059186,"Influencer: 2.09x on revenue is 0.46x on gross margin — below the 1x breakeven, on 1,555,332 AED of spend","The next dirham into this channel loses money at the assumed gross margin. Cap spend and reallocate to a channel above breakeven, or renegotiate rates. Confirm the margin assumption with Finance before acting on the number.",1
,All markets,B2B Roadshow,CH-01,Channel below breakeven on gross margin,Channel performance,high,Marketing Director,roi_gross_margin,0.932927457527947,"B2B Roadshow: 4.24x on revenue is 0.93x on gross margin — below the 1x breakeven, on 875,046 AED of spend","The next dirham into this channel loses money at the assumed gross margin. Cap spend and reallocate to a channel above breakeven, or renegotiate rates. Confirm the margin assumption with Finance before acting on the number.",1
,SEIL,Influencer_16,INF-01,Influencer cost per acquisition far above roster,Influencer,high,Influencer Marketing Manager,cpa_aed,261.04741379310343,"Influencer_16: 261 AED CPA against a roster median of 164 (1.6x) on 60,563 AED of fees",Renegotiate to a performance-weighted fee or exit at contract end. Retest at a lower rate before renewing.,1
