week,market,entity,rule_id,rule,category,severity,owner,metric,value,detail,action,severity_rank
8,All markets,Portfolio (all markets),EFF-03,Portfolio sales declining,Commercial,critical,Marketing Director,sales_aed,-0.2641736771492109,"Group-wide sales_aed -26.4% across weeks 7-8 versus the 3 before, summed across all 8 markets — invisible to every peer-comparison rule on this page, since nothing looks unusual when every market moves together.","Check whether spend fell in step with sales or sales fell faster than spend -- the first is a controlled pullback, the second is a demand problem. This is the only rule watching total portfolio volume rather than any one market against its neighbours, so treat it as the headline number, not a duplicate of the market-level alerts above.",0
,All markets,TV,CH-02,Large spend with no revenue attribution,Measurement,critical,Marketing Director,share_of_spend,0.48055486574839645,"TV carries 48% of media spend (11,645,683 AED) with no attributed sales or conversions in this dataset","A material share of budget sits in a channel this data cannot evaluate. This is a measurement gap, not evidence of failure — commission incrementality testing or a geo holdout before drawing any conclusion about its worth.",0
8,SEEG,SEEG (Egypt),SENT-01,Sentiment below peer group,Brand health,critical,Brand & PR Lead,sentiment,0.8466666666666667,"sentiment at 0.85 against a peer median of 0.86 (+1% gap, -2.1 robust SD across 8 markets)",Identify the driving topic within 24h. Pause paid amplification on affected creative until the cause is known — amplifying into negative sentiment turns a complaint into a news cycle.,0
,All markets,Influencer,CH-01,Channel below breakeven on gross margin,Channel performance,high,Marketing Director,roi_gross_margin,0.45872062042059186,"Influencer: 2.09x on revenue is 0.46x on gross margin — below the 1x breakeven, on 1,555,332 AED of spend","The next dirham into this channel loses money at the assumed gross margin. Cap spend and reallocate to a channel above breakeven, or renegotiate rates. Confirm the margin assumption with Finance before acting on the number.",1
,All markets,B2B Roadshow,CH-01,Channel below breakeven on gross margin,Channel performance,high,Marketing Director,roi_gross_margin,0.932927457527947,"B2B Roadshow: 4.24x on revenue is 0.93x on gross margin — below the 1x breakeven, on 875,046 AED of spend","The next dirham into this channel loses money at the assumed gross margin. Cap spend and reallocate to a channel above breakeven, or renegotiate rates. Confirm the margin assumption with Finance before acting on the number.",1
,SEIL,Influencer_16,INF-01,Influencer cost per acquisition far above roster,Influencer,high,Influencer Marketing Manager,cpa_aed,261.04741379310343,"Influencer_16: 261 AED CPA against a roster median of 164 (1.6x) on 60,563 AED of fees",Renegotiate to a performance-weighted fee or exit at contract end. Retest at a lower rate before renewing.,1
8,SEPAK,SEPAK (Pakistan),EFF-02,Cost per acquisition above peer group,Commercial,high,Performance Media Manager,cpa_aed,46.31357154302195,"cpa_aed at 46.31 against a peer median of 37.06 (+25% gap, +2.7 robust SD across 8 markets)","Check whether the gap is traffic cost or conversion quality. If impressions and clicks are in line with peers but conversions are not, the problem is after the click and adding media will not fix it.",1
,SGE,Influencer_1,INF-01,Influencer cost per acquisition far above roster,Influencer,high,Influencer Marketing Manager,cpa_aed,366.7178217821782,"Influencer_1: 367 AED CPA against a roster median of 164 (2.2x) on 74,077 AED of fees",Renegotiate to a performance-weighted fee or exit at contract end. Retest at a lower rate before renewing.,1
,All markets,Influencer follower data,INF-03,Influencer follower count data unreliable,Measurement,medium,Analytics Lead,followers_unstable,0.7916666666666666,"19 of 24 influencers (79%) have a recorded follower count that swings by more than its own median across rows in the dataset — the same creator shows very different values week to week, sometimes even product to product in the same week. Follower-tier classification and any size-based peer comparison are not reliable on this field until its meaning is confirmed with the data source.","Confirm the definition and collection method of follower count with the data source before using it for tier classification or any size-based influencer decision. Until then, evaluate the roster on cost per acquisition, ROAS and engagement rate only.",2
8,SEEG,Influencer_13,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.0978608310794199,Influencer_13: engagement -9.8% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
8,SEEG,Influencer_15,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.23278688524590152,Influencer_15: engagement -23.3% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
8,SELV,Influencer_10,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.25905260760646764,Influencer_10: engagement -25.9% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
8,SESAR,Influencer_21,INF-04,Influencer engagement declining,Influencer,medium,Influencer Marketing Manager,engagement_rate,-0.12534114357984427,Influencer_21: engagement -12.5% across the last 2 weeks versus the 3 before — declining independent of how it compares to the rest of the roster,"Confirm with platform-native analytics before assuming a content problem. A real decline independent of the roster is the earliest indicator an account's audience quality is degrading, regardless of how it compares to the rest of the roster.",2
